Вольтаж,pH,Температура,Влажность,набор_воды,сброс_воды
2.16,7.56,26.20,30.10,0,1
2.16,7.56,26.20,30.10,0,1
2.16,7.55,26.30,30.10,0,1
2.16,7.55,26.20,30.00,0,1
2.16,7.55,26.30,30.00,0,1
2.16,7.55,26.30,30.00,0,1
2.16,7.55,26.30,29.90,0,1
2.16,7.55,26.30,29.90,0,1
2.16,7.55,26.30,29.90,0,1
2.16,7.55,26.30,29.90,0,1
2.16,7.55,26.30,29.80,0,1
2.16,7.56,26.30,29.80,0,1
2.16,7.56,26.30,29.80,0,1
2.16,7.56,26.30,29.80,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.54,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.54,26.30,29.60,0,1
2.16,7.55,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.56,26.30,29.60,0,1
2.16,7.55,26.30,29.70,0,1
2.16,7.55,26.30,29.70,0,1
2.17,7.58,26.30,29.80,0,1
2.17,7.60,26.30,29.80,0,1
2.18,7.63,26.30,29.80,0,1
2.19,7.66,26.30,29.80,0,1
2.19,7.68,26.30,29.70,0,1
2.20,7.70,26.30,29.70,0,1
2.21,7.72,26.30,29.70,0,1
2.21,7.74,26.30,29.70,0,1
2.22,7.77,26.30,29.70,0,1
2.23,7.80,26.30,29.60,0,1
2.23,7.82,26.30,29.70,0,1
2.24,7.84,26.30,29.70,0,1
2.25,7.86,26.30,29.70,0,1
2.25,7.89,26.30,29.60,0,1
2.26,7.92,26.30,29.60,0,1
2.27,7.94,26.30,29.60,0,1
2.28,7.96,26.30,29.60,0,1
2.28,7.98,26.30,29.60,0,1
2.29,8.00,26.30,29.60,0,1
2.29,8.02,26.30,29.60,0,1
2.30,8.04,26.30,29.60,0,1
2.31,8.07,26.30,29.60,0,1
2.31,8.09,26.30,29.60,0,1
2.32,8.11,26.30,29.60,0,1
2.32,8.12,26.30,29.60,0,1
2.33,8.14,26.30,29.60,0,1
2.33,8.16,26.30,29.60,0,1
2.34,8.19,26.30,29.60,0,1
2.34,8.20,26.40,29.60,0,1
2.35,8.22,26.30,29.60,0,1
2.35,8.23,26.30,29.60,0,1
2.36,8.25,26.30,29.70,0,1
2.36,8.27,26.30,29.70,0,1
2.37,8.29,26.30,29.70,0,1
2.37,8.30,26.30,29.70,0,1
2.37,8.31,26.30,29.70,0,1
2.38,8.33,26.30,29.70,0,1
2.39,8.35,26.30,29.70,0,1
2.39,8.35,26.30,29.70,0,1
2.38,8.34,26.30,29.70,0,1
2.38,8.33,26.30,29.70,0,1
2.38,8.33,26.30,29.60,0,1
2.38,8.32,26.30,29.70,0,1
2.38,8.31,26.40,29.70,0,1
2.37,8.31,26.30,29.60,0,1
2.37,8.30,26.30,29.60,0,1
2.37,8.29,26.30,29.60,0,1
2.37,8.28,26.30,29.60,0,1
2.36,8.27,26.40,29.70,0,1
2.36,8.26,26.30,30.10,0,1
2.36,8.25,26.30,30.50,0,1
2.35,8.24,26.30,30.90,0,1
2.35,8.23,26.30,31.40,0,1
2.35,8.22,26.30,31.10,0,1
2.35,8.22,26.30,30.70,0,1
2.35,8.21,26.30,30.40,0,1
2.34,8.20,26.30,30.20,0,1
2.34,8.19,26.30,30.10,0,1
2.34,8.18,26.30,30.00,0,1
2.34,8.18,26.30,30.10,0,1
2.33,8.17,26.30,30.00,0,1
2.33,8.16,26.30,30.00,0,1
2.33,8.16,26.30,30.00,0,1
2.33,8.15,26.30,30.00,0,1
2.33,8.14,26.30,30.00,0,1
2.33,8.14,26.30,30.00,0,1
2.32,8.13,26.30,29.90,0,1
2.32,8.13,26.30,29.90,0,1
2.32,8.12,26.30,29.80,0,1
2.32,8.12,26.30,29.80,0,1
2.32,8.11,26.30,29.80,0,1
2.32,8.11,26.30,29.80,0,1
2.31,8.10,26.30,29.80,0,1
2.31,8.10,26.30,29.80,0,1
2.31,8.09,26.30,29.80,0,1
2.31,8.09,26.30,29.80,0,1
2.31,8.08,26.30,29.80,0,1
2.31,8.08,26.30,29.80,0,1
2.31,8.07,26.30,29.80,0,1
2.31,8.07,26.30,29.80,0,1
2.30,8.06,26.30,29.80,0,1
2.30,8.06,26.30,29.80,0,1
2.30,8.06,26.30,29.80,0,1
2.30,8.05,26.30,29.80,0,1
2.30,8.05,26.30,29.80,0,1
2.30,8.05,26.30,29.80,0,1
2.30,8.04,26.30,29.80,0,1
2.30,8.04,26.30,29.80,0,1
2.30,8.04,26.30,29.80,0,1
2.30,8.03,26.30,29.80,0,1
2.29,8.03,26.30,29.80,0,1
2.29,8.03,26.30,29.70,0,1
2.29,8.02,26.30,29.70,0,1
2.29,8.02,26.30,29.70,0,1
2.29,8.02,26.30,29.70,0,1
2.29,8.01,26.30,29.70,0,1
2.29,8.01,26.30,29.70,0,1
2.29,8.01,26.30,29.70,0,1
2.29,8.01,26.30,29.70,0,1
2.29,8.01,26.30,29.70,0,1
2.29,8.00,26.30,29.70,0,1
2.29,8.00,26.30,29.60,0,1
2.29,8.00,26.30,29.60,0,1
2.29,8.00,26.30,29.60,0,1
2.28,8.00,26.30,29.60,0,1
2.28,7.99,26.30,29.60,0,1
2.28,7.99,26.30,29.60,0,1
2.28,7.99,26.30,29.60,0,1
2.28,7.99,26.30,29.80,0,1
2.28,7.99,26.30,29.80,0,1
2.28,7.98,26.30,29.90,0,1
2.28,7.98,26.30,29.90,0,1
2.28,7.98,26.30,29.80,0,1
2.28,7.98,26.30,29.80,0,1
2.28,7.98,26.30,29.90,0,1
2.28,7.98,26.30,29.90,0,1
2.28,7.98,26.30,29.80,0,1
2.28,7.98,26.30,29.80,0,1
2.28,7.98,26.30,29.70,0,1
2.28,7.98,26.30,29.70,0,1
2.28,7.98,26.30,29.70,0,1
2.28,7.97,26.30,29.70,0,1
